رقم البند,رمز النظام المتناسق,المستوى,نوع البضاعة,الاسم التجاري,رسم الاستيراد,بدل خدمات الاستيراد,رسم الاستيراد الكلي,الوحدة القياسية
1.01,0101.21.00,-,خيل وحمير وبغال,خيل حية للذبح,قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.01,0101.29.00,-,غيرها,غيرها من خيل وحمير وبغال,40,13,53,عدد
1.01,0101.30.00,-,حمير,حمير,40,13,53,عدد
1.01,0101.90.00,-,بغال,بغال,40,13,53,عدد
1.02,0102.21.00,-,من فصيلة الأبقار,أبقار حية للذبح (خالصة التربية),قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.02,0102.29.00,-,غيرها,أبقار حية للذبح (غير خالصة التربية),قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.02,0102.31.00,-,من فصيلة الجاموس,Buffalo حي,20,7,27,عدد
1.02,0102.39.00,-,غيرها,جاموس حي عدا Buffalo,20,7,27,عدد
1.02,0102.90.00,-,غيرها,غيرها من فصيلة الأبقار,20,7,27,عدد
1.03,0103.10.00,-,فصيلة الخنازير,خنازير أصلية من فصيلة الخنازير للتربية,قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.03,0103.91.00,-,غيرها، وزنها أقل من 50 كغ,خنازير للذبح وزنها اقل من 50 كغ,قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.03,0103.92.00,-,غيرها، وزنها 50 كغ أو أكثر,خنازير للذبح وزنها 50 كغ او اكثر,قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.04,0104.10.00,-,من فصيلة الضأن,خراف حية للذبح,قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.04,0104.20.00,-,من فصيلة الماعز,ماعز حي للذبح,قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.05,0105.11.00,-,دجاج من فصيلة غالوس دومستيكاس,فروج حي (كتاكيت أم),قائمة سلبية,قائمة سلبية,قائمة سلبية,عدد
1.05,0105.12.00,-,ديوك رومية (ديك حبش),ديوك رومية حية (ديك حبش),20,7,27,عدد
1.05,0105.13.00,-,بط,بط حي,20,7,27,عدد
1.05,0105.14.00,-,إوز,إوز حي,20,7,27,عدد
1.05,0105.15.00,-,دجاج غينيا (غفر),دجاج غينيا حي (غفر),20,7,27,عدد
1.05,0105.19.00,-,غيرها,طيور دواجن حية أخرى,20,7,27,عدد
1.06,0106.11.00,-,ثدييات,قرود حية,40,13,53,عدد
1.06,0106.12.00,-,حيتان ودلافين وأطوم و فقمات,حيتان ودلافين وأطوم وفقمة حية,5,2,7,عدد
1.06,0106.13.00,-,جمال وغيره من فصيلة الجمليات,جمال وغيره من فصيلة الجمليات (كاميلية) حية,40,13,53,عدد
1.06,0106.14.00,-,أرانب وأراج,أرانب وأراج حية,40,13,53,عدد
1.06,0106.19.00,-,غيرها,غيرها من ثدييات حية,40,13,53,عدد
1.06,0106.20.00,-,زواحف (بما فيها الأفاعي والسلاحف),زواحف (بما فيها الأفاعي والسلاحف),5,2,7,عدد
1.06,0106.31.10,-,جوارح (طيور مفترسة),جوارح (طيور مفترسة): (البوم وغيرها),38,12,50,عدد
1.06,0106.31.90,-,جوارح (طيور مفترسة),جوارح (طيور مفترسة): (طيور حرة),375,125,500,عدد
1.06,0106.32.00,-,فصيلة الببّاغاوات,فصيلة الببّاغاوات حية,75,25,100,عدد
1.06,0106.33.00,-,طيور النعام، نعام استرالي,طيور النعام، نعام استرالي,40,13,53,عدد
1.06,0106.39.00,-,غيرها,غيرها من الطيور,5,2,7,عدد
1.06,0106.41.00,-,حشرات,حشرات نحل (وإن كانت بشكل صناديق),4,1,5,عدد
1.06,0106.49.00,-,غيرها,غيرها من الحشرات,4,1,5,عدد
1.06,0106.90.00,-,غيرها,غيرها من الحيوانات الحية (ضفادع وغيرها),4,1,5,عدد
2.01,0201.10.00,-,ذبائح كاملة وأنصاف ذبائح,ذبائح الأبقار كاملة وأنصاف ذبائح، طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.01,0201.20.00,-,قطع أخرى بعظامها,قطع أخر من لحوم الأبقار بعظامها، طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.01,0201.30.00,-,بدون عظام,قطع أخر من لحوم الأبقار بدون عظام، طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.02,0202.10.00,-,ذبائح كاملة وأنصاف ذبائح,ذبائح الأبقار كاملة وأنصاف ذبائح، مجمدة,75,25,100,وزن
2.02,0202.20.00,-,قطع أخرى بعظامها,قطع أخر من لحوم الأبقار بعظامها، مجمدة,75,25,100,وزن
2.02,0202.30.00,-,بدون عظام,قطع أخر من لحوم الأبقار بدون عظام، مجمدة,75,25,100,وزن
2.03,0203.11.00,-,ذبائح كاملة وأنصاف ذبائح,ذبائح كاملة وأنصاف ذبائح من لحوم فصيلة الخنازير طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.03,0203.12.00,-,أفخاذ وأكتاف وقطعها بعظامها,أفخاذ وأكتاف وقطعها بعظمها من لحوم فصيلة الخنازير طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.03,0203.19.00,-,غيرها,لحوم من فصيلة الخنازير غير (ذبائح وأنصافها وأفخاذ وأكتاف وقطعها بعظمها) طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.03,0203.21.00,-,ذبائح كاملة وأنصاف ذبائح,ذبائح كاملة وأنصاف ذبائح من لحوم فصيلة الخنازير مجمدة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.03,0203.22.00,-,أفخاذ وأكتاف وقطعها بعظامها,أفخاذ وأكتاف وقطعها بعظمها من لحوم فصيلة الخنازير مجمدة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.03,0203.29.00,-,غيرها,لحوم من فصيلة الخنازير غير (ذبائح وأنصافها وأفخاذ وأكتاف وقطعها بعظمها) مجمدة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.04,0204.10.00,-,ذبائح كاملة وأنصاف ذبائح حملان,ذبائح كاملة وأنصاف ذبائح حملان طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.04,0204.21.00,-,ذبائح كاملة وأنصاف ذبائح ضأن آخر,ذبائح كاملة وأنصاف ذبائح ضأن آخر (عدا الحملان) طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.04,0204.22.00,-,قطع أخرى بعظامها,قطع أخرى بعظامها من لحوم فصيلة الضأن طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.04,0204.23.00,-,بدون عظام,قطع أخرى بدون عظام من لحوم فصيلة الضأن طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.04,0204.30.00,-,ذبائح كاملة وأنصاف ذبائح حملان مجمدة,ذبائح كاملة وأنصاف ذبائح حملان مجمدة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.04,0204.41.00,-,ذبائح كاملة وأنصاف ذبائح ضأن آخر مجمدة,ذبائح كاملة وأنصاف ذبائح ضأن آخر مجمدة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.04,0204.42.00,-,قطع أخرى بعظامها مجمدة,قطع أخرى بعظامها من لحوم فصيلة الضأن مجمدة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.04,0204.43.00,-,بدون عظام مجمدة,قطع أخرى بدون عظام من لحوم فصيلة الضأن مجمدة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.04,0204.44.00,-,لحوم فصيلة الماعز,لحوم فصيلة الماعز طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.04,0204.50.90,-,لحوم فصيلة الماعز مجمدة,لحوم فصيلة الماعز مجمدة,75,25,100,وزن
2.05,0205.00.00,-,لحوم فصائل الخيول والحمر والبغال,لحوم فصائل الخيول والحمر والبغال الطازجة أو المبردة أو المجمدة,75,25,100,وزن
2.06,0206.10.00,-,أحشاء وأطراف صالحة للأكل من فصيلة الأبقار طازجة أو مبردة,أحشاء وأطراف صالحة للأكل من فصيلة الأبقار طازجة أو مبردة,75,25,100,وزن
2.06,0206.21.00,-,ألسنة صالحة للأكل من فصيلة الأبقار مجمدة,ألسنة صالحة للأكل من فصيلة الأبقار مجمدة,75,25,100,وزن
2.06,0206.22.00,-,أكباد صالحة للأكل من فصيلة الأبقار مجمدة,أكباد صالحة للأكل من فصيلة الأبقار مجمدة,75,25,100,وزن
2.06,0206.29.00,-,غيرها,أحشاء وأطراف صالحة للأكل (عدا الألسنة والأكباد) من فصيلة الأبقار مجمدة,75,25,100,وزن
2.06,0206.30.00,-,أحشاء وأطراف صالحة للأكل من فصيلة الخنازير طازجة أو مبردة,أحشاء وأطراف صالحة للأكل من فصيلة الخنازير مجمدة,75,25,100,وزن
2.06,0206.41.00,-,أكباد صالحة للأكل من فصيلة الخنازير مجمدة,أكباد صالحة للأكل من فصيلة الخنازير مجمدة,75,25,100,وزن
2.06,0206.49.00,-,غيرها,أحشاء وأطراف صالحة للأكل (عدا الأكباد) من فصيلة الخنازير مجمدة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.06,0206.80.00,-,غيرها طازجة أو مبردة,غيرها طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.06,0206.90.00,-,غيرها مجمدة,غيرها مجمدة,75,25,100,وزن
2.07,0207.11.00,-,ديوك ودجاج غير مقطعة لأجزاء طازجة أو مبردة,ديوك ودجاج غير مقطعة لأجزاء طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.07,0207.12.00,-,ديوك ودجاج غير مقطعة لأجزاء مجمدة,ديوك ودجاج غير مقطعة لأجزاء مجمدة,75,25,100,وزن
2.07,0207.13.00,-,قطع وأحشاء وأطراف طازجة أو مبردة من ديوك ودجاج,قطع وأحشاء وأطراف طازجة أو مبردة من ديوك ودجاج,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.07,0207.14.00,-,قطع وأحشاء وأطراف مجمدة من ديوك ودجاج,قطع وأحشاء وأطراف مجمدة من ديوك ودجاج,75,25,100,وزن
2.07,0207.24.00,-,ديوك رومية (ديك حبش) غير مقطعة لأجزاء طازجة أو مبردة,ديوك رومية (ديك حبش) غير مقطعة لأجزاء طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.07,0207.25.00,-,ديوك رومية (ديك حبش) غير مقطعة لأجزاء مجمدة,ديوك رومية (ديك حبش) غير مقطعة لأجزاء مجمدة,75,25,100,وزن
2.07,0207.26.00,-,قطع وأحشاء وأطراف طازجة أو مبردة من ديوك رومية,قطع وأحشاء وأطراف طازجة أو مبردة من ديوك رومية,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.07,0207.27.00,-,قطع وأحشاء وأطراف مجمدة من ديوك رومية,قطع وأحشاء وأطراف صالحة للأكل من ديوك حبش مجمدة,75,25,100,وزن
2.07,0207.41.00,-,بط غير مقطعة لأجزاء طازجة أو مبردة,بط غير مقطعة لأجزاء طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.07,0207.42.00,-,بط غير مقطعة لأجزاء مجمدة,بط غير مقطعة لأجزاء مجمدة,75,25,100,وزن
2.07,0207.43.00,-,أكباد دسمة من بط طازجة أو مبردة,أكباد دسمة من بط طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.07,0207.44.00,-,غيرها من بط طازجة أو مبردة,غيرها من بط طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.07,0207.45.00,-,غيرها من بط مجمدة,غيرها من بط مجمدة,75,25,100,وزن
2.07,0207.51.00,-,إوز غير مقطع لأجزاء طازج أو مبرد,إوز غير مقطع لأجزاء طازج أو مبرد,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.07,0207.52.00,-,إوز غير مقطع لأجزاء مجمد,إوز غير مقطع لأجزاء مجمد,75,25,100,وزن
2.07,0207.53.00,-,أكباد دسمة من إوز طازجة أو مبردة,أكباد دسمة من إوز طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.07,0207.54.00,-,غيرها من إوز طازجة أو مبردة,غيرها من إوز طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.07,0207.55.00,-,غيرها من إوز مجمدة,غيرها من إوز مجمدة,75,25,100,وزن
2.07,0207.60.00,-,من دجاج غينيا (غفر),من دجاج غينيا (غفر),قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.08,0208.10.10,-,لحوم وأحشاء وأطراف أخر صالحة للأكل من أرناب أليفة أو برية طازجة أو مبردة,لحوم وأحشاء وأطراف أخر صالحة للأكل من أرناب طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.08,0208.10.90,-,لحوم وأحشاء وأطراف أخر صالحة للأكل من أرناب أليفة أو برية مجمدة,لحوم وأحشاء وأطراف أخر صالحة للأكل من أرناب مجمدة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.08,0208.30.10,-,لحوم وأحشاء وأطراف أخر صالحة للأكل من حيوانات رئيسة طازجة أو مبردة,لحوم وأحشاء وأطراف أخر صالحة للأكل من حيوانات رئيسة طازجة أو مبردة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.08,0208.30.90,-,لحوم وأحشاء وأطراف أخر صالحة للأكل من حيوانات رئيسة مجمدة,لحوم وأحشاء وأطراف أخر صالحة للأكل من حيوانات رئيسة مجمدة,75,25,100,وزن
2.08,0208.40.00,-,لحوم وأحشاء وأطراف أخر صالحة للأكل من حيتان ودلافين وغيرها,لحوم وأحشاء وأطراف أخر صالحة للأكل من حيتان ودلافين,75,25,100,وزن
2.08,0208.50.00,-,لحوم وأحشاء وأطراف أخر صالحة للأكل من زواحف,لحوم وأحشاء وأطراف أخر صالحة للأكل من زواحف,75,25,100,وزن
2.08,0208.60.00,-,لحوم وأحشاء وأطراف أخر صالحة للأكل من جمال وغيرها من فصيلة (camelidae),لحوم وأحشاء وأطراف أخر صالحة للأكل من جمال وغيرها,75,25,100,وزن
2.08,0208.90.00,-,غيرها,لحوم وأحشاء وأطراف أخر صالحة للأكل طازجة أو مبردة أو مجمدة (غ م س),75,25,100,وزن
2.09,0209.10.00,-,شحم خنزير صرف من خنزير,شحم خنزير صرف من خنزير,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.09,0209.90.00,-,غيرها,دهن طيور دواجن غير مستخلص بالاذابة او بطرق الاستخلاص الاخر طازجا مبردا مجمدا مملحا,75,25,100,وزن
2.1,0210.11.00,-,أفخاذ خنازير أو أكتافها وقطعها بعظامها ملحة أو في ماء ملح مجففة أو مدخنة,أفخاذ خنازير أو أكتافها وقطعها بعظامها ملحة أو في ماء ملح مجففة أو مدخنة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.1,0210.12.00,-,صدور خنازير يتحللها شحم وقطعها ملحة أو في ماء ملح مجففة أو مدخنة,صدور خنازير يتحللها شحم وقطعها ملحة أو في ماء ملح مجففة أو مدخنة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.1,0210.19.00,-,لحوم خنازير عدا (أفخاذ وأكتاف، بعظامها وصدور وقطعها) ملحة مجففة أو مدخنة,لحوم خنازير عدا (أفخاذ وأكتاف، بعظامها وصدور وقطعها) ملحة مجففة أو مدخنة,قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.1,0210.20.00,-,لحوم فصيلة الأبقار مجففة أو مملحة أو مدخنة,لحوم فصيلة الأبقار مجففة أو مملحة أو مدخنة (غ م س),قائمة سلبية,قائمة سلبية,قائمة سلبية,
2.1,0210.91.00,-,من الرئيسات (الحيوانات العليا),لحوم وأحشاء وأطراف ملحة مجففة أو مدخنة من الرئيسات,75,25,100,وزن
2.1,0210.92.00,-,من حيتان ودلافين وغيرها,لحوم وأحشاء وأطراف ملحة مجففة أو مدخنة من حيتان ودلافين,75,25,100,وزن
2.1,0210.93.00,-,من الزواحف,لحوم وأحشاء وأطراف ملحة مجففة أو مدخنة من زواحف,75,25,100,وزن
2.1,0210.99.00,-,غيرها,غيرها من لحوم وأحشاء وأطراف ملحة مجففة أو مدخنة,75,25,100,وزن
3.01,0301.11.00,-,أسماك الزينة في مياه عذبة,أسماك الزينة في مياه عذبة,375,125,500,وزن
3.01,0301.19.00,-,أسماك الزينة غيرها,أسماك الزينة غيرها,375,125,500,وزن
3.01,0301.91.00,-,أسماك حية أخرى من نوع الترويت (الملك),أسماك الترويت الحية,375,125,500,وزن
3.01,0301.92.00,-,أسماك حية أخرى من نوع الأنقليس,أسماك الأنقليس الحية,375,125,500,وزن
3.01,0301.93.00,-,أسماك حية أخرى من نوع الشبوط,أسماك الشبوط الحية,375,125,500,وزن
3.01,0301.94.00,-,أسماك حية أخرى من نوع التونة,أسماك التونة الحية,375,125,500,وزن
3.01,0301.95.00,-,أسماك حية أخرى من نوع التونة ذات الزعانف الزرقاء الجنوبية,أسماك التونة الجنوبية ذات الزعانف الزرقاء الحية,375,125,500,وزن
3.01,0301.99.00,-,أسماك حية أخرى غيرها,أسماك حية أخرى غيرها,375,125,500,وزن
3.02,0302.11.00,-,أسماك طازجة أو مبردة من فصيلة الترويت,أسماك الترويت طازجة أو مبردة,375,125,500,وزن
3.02,0302.13.00,-,أسماك طازجة أو مبردة من فصيلة السلمون الأحمر,أسماك السلمون الأحمر طازجة أو مبردة,375,125,500,وزن
3.02,0302.14.00,-,أسماك طازجة أو مبردة من فصيلة السلمون من المحيط الهادي,أسماك السلمون من المحيط الهادي طازجة أو مبردة,375,125,500,وزن
3.02,0302.19.00,-,أسماك طازجة أو مبردة من فصيلة السلمون الأطلسي,أسماك السلمون الأطلسي طازجة أو مبردة,375,125,500,وزن
3.02,0302.21.00,-,أسماك طازجة أو مبردة من نوع الهلبوت,أسماك الهلبوت طازجة أو مبردة,375,125,500,وزن
3.02,0302.22.00,-,أسماك طازجة أو مبردة من نوع موسى,أسماك موسى طازجة أو مبردة,375,125,500,وزن
3.02,0302.23.00,-,أسماك طازجة أو مبردة من نوع الترس,أسماك الترس طازجة أو مبردة,375,125,500,وزن
3.02,0302.24.00,-,أسماك طازجة أو مبردة من نوع الهلبوت (الأطلسي),أسماك الهلبوت الأطلسي طازجة أو مبردة,375,125,500,وزن
3.02,0302.29.00,-,غيرها,أسماك مفلطحة أخرى طازجة أو مبردة,375,125,500,وزن
3.02,0302.31.00,-,أسماك طازجة أو مبردة من التونة ذات الزعانف الصفراء,أسماك التونة ذات الزعانف الصفراء طازجة أو مبردة,375,125,500,وزن
3.02,0302.32.00,-,أسماك طازجة أو مبردة من التونة الوثابة (بونيت مخطط البطن),أسماك التونة الوثابة طازجة أو مبردة,375,125,500,وزن
3.02,0302.33.00,-,أسماك طازجة أو مبردة من التونة ذات العينين الكبيرتين,أسماك التونة ذات العينين الكبيرتين طازجة أو مبردة,375,125,500,وزن
3.02,0302.34.00,-,أسماك طازجة أو مبردة من التونة الأطلسي ذات الزعنفة الزرقاء,أسماك التونة الأطلسي ذات الزعنفة الزرقاء طازجة أو مبردة,375,125,500,وزن
3.02,0302.35.00,-,أسماك طازجة أو مبردة من التونة الهادي ذات الزعنفة الزرقاء,أسماك التونة الهادي ذات الزعنفة الزرقاء طازجة أو مبردة,375,125,500,وزن
3.02,0302.36.00,-,أسماك طازجة أو مبردة من التونة الجنوبية ذات الزعنفة الزرقاء,أسماك التونة الجنوبية ذات الزعنفة الزرقاء طازجة أو مبردة,375,125,500,وزن
3.02,0302.39.00,-,غيرها,أسماك تونة أخرى طازجة أو مبردة,375,125,500,وزن
3.02,0302.41.00,-,أسماك طازجة أو مبردة من الرنجة,أسماك الرنجة طازجة أو مبردة,375,125,500,وزن
3.02,0302.42.00,-,أسماك طازجة أو مبردة من الأنشوا,أسماك الأنشوا طازجة أو مبردة,375,125,500,وزن
3.02,0302.43.00,-,أسماك طازجة أو مبردة من السردين والسردينيلا والإسبرط,أسماك السردين والسردينيلا والإسبرط طازجة أو مبردة,375,125,500,وزن
3.02,0302.44.00,-,أسماك طازجة أو مبردة من الإسقمري (الماكريل),أسماك الإسقمري (الماكريل) طازجة أو مبردة,375,125,500,وزن
3.02,0302.45.00,-,أسماك طازجة أو مبردة من الشينشار (سليمان),أسماك الشينشار طازجة أو مبردة,375,125,500,وزن
3.02,0302.46.00,-,أسماك طازجة أو مبردة من الكوبيا,أسماك الكوبيا طازجة أو مبردة,375,125,500,وزن
3.02,0302.47.00,-,أسماك طازجة أو مبردة من أبو سيف,أسماك أبو سيف طازجة أو مبردة,375,125,500,وزن
3.02,0302.49.00,-,غيرها,أسماك أخرى من الأنواع المذكورة طازجة أو مبردة,375,125,500,وزن
3.02,0302.51.00,-,أسماك طازجة أو مبردة من القد,أسماك القد طازجة أو مبردة,375,125,500,وزن
3.02,0302.52.00,-,أسماك طازجة أو مبردة من الحدوق,أسماك الحدوق طازجة أو مبردة,375,125,500,وزن
3.02,0302.53.00,-,أسماك طازجة أو مبردة من النازلي,أسماك النازلي طازجة أو مبردة,375,125,500,وزن
3.02,0302.54.00,-,أسماك طازجة أو مبردة من البوالك (ألاسكا),أسماك البوالك طازجة أو مبردة,375,125,500,وزن
3.02,0302.55.00,-,أسماك طازجة أو مبردة من أسماك عائلة القادس,أسماك عائلة القادس طازجة أو مبردة,375,125,500,وزن
3.02,0302.56.00,-,أسماك طازجة أو مبردة من السلمون,أسماك السلمون طازجة أو مبردة,375,125,500,وزن
3.02,0302.59.00,-,غيرها,أسماك أخرى طازجة أو مبردة,375,125,500,وزن
3.02,0302.71.00,-,أسماك طازجة أو مبردة من كلاب البحر وأسماك القرش,أسماك كلاب البحر وأسماك القرش طازجة أو مبردة,375,125,500,وزن
3.02,0302.72.00,-,أسماك طازجة أو مبردة من سمك الشفنين,أسماك الشفنين طازجة أو مبردة,375,125,500,وزن
3.02,0302.73.00,-,أسماك طازجة أو مبردة من سمك أبو سن,أسماك أبو سن طازجة أو مبردة,375,125,500,وزن
3.02,0302.74.00,-,أسماك طازجة أو مبردة من القاروس (ذئب البحر),أسماك القاروس طازجة أو مبردة,375,125,500,وزن
3.02,0302.79.00,-,غيرها,أسماك أخرى طازجة أو مبردة غير مصنفة,375,125,500,وزن
3.02,0302.81.00,-,أسماك طازجة أو مبردة من كلاب البحر وأسماك القرش (غير مصنفة),كلاب البحر وأسماك القرش طازجة أو مبردة,375,125,500,وزن
3.02,0302.82.00,-,أسماك طازجة أو مبردة من الشفنين والمسطحات,سمك الشفنين والمسطحات طازجة أو مبردة,375,125,500,وزن
3.02,0302.83.00,-,أسماك طازجة أو مبردة من أسماك الذيل (راجيداي),أسماك الذيل (راجيداي) طازجة أو مبردة,375,125,500,وزن
3.02,0302.84.00,-,أسماك طازجة أو مبردة من أبو سن (ديسوستيكوس),أسماك أبو سن طازجة أو مبردة,375,125,500,وزن
3.02,0302.85.00,-,أسماك طازجة أو مبردة من القاروس (ديسينتراركوس),أسماك القاروس طازجة أو مبردة,375,125,500,وزن
3.02,0302.89.00,-,أكباد وبيض وزعانف وذيول وحويصلات وأحشاء سمك صالحة للأكل,أكباد وبيض وزعانف وذيول وحويصلات وأحشاء سمك صالحة للأكل,375,125,500,وزن
3.02,0302.91.00,-,زعانف سمك القرش,زعانف سمك القرش,375,125,500,وزن
3.02,0302.92.00,-,غيرها من أحشاء السمك الصالحة للأكل,غيرها من أحشاء السمك الصالحة للأكل,375,125,500,وزن
3.03,0303.11.00,-,أسماك مجمدة من فصيلة السلمون السوكي,أسماك السلمون السوكي مجمدة,375,125,500,وزن
3.03,0303.12.00,-,أسماك مجمدة من فصيلة السلمون الأخرى من المحيط الهادي,أسماك السلمون الأخرى من المحيط الهادي مجمدة,375,125,500,وزن
3.03,0303.13.00,-,أسماك مجمدة من فصيلة السلمون الأطلسي والدانوب,أسماك السلمون الأطلسي والدانوب مجمدة,375,125,500,وزن
3.03,0303.14.00,-,أسماك مجمدة من فصيلة الترويت,أسماك الترويت مجمدة,375,125,500,وزن
3.03,0303.19.00,-,غيرها,أسماك سلمون وترويت أخرى مجمدة,375,125,500,وزن
3.03,0303.21.00,-,أسماك مجمدة من الهلبوت الأطلسي,أسماك الهلبوت الأطلسي مجمدة,375,125,500,وزن
3.03,0303.22.00,-,أسماك مجمدة من الهلبوت الهادي,أسماك الهلبوت الهادي مجمدة,375,125,500,وزن
3.03,0303.23.00,-,أسماك مجمدة من موسى,أسماك موسى مجمدة,375,125,500,وزن
3.03,0303.24.00,-,أسماك مجمدة من الترس,أسماك الترس مجمدة,375,125,500,وزن
3.03,0303.29.00,-,غيرها,أسماك مفلطحة أخرى مجمدة,375,125,500,وزن
3.03,0303.31.00,-,أسماك مجمدة من الهلبوت الأسود,أسماك الهلبوت الأسود مجمدة,375,125,500,وزن
3.03,0303.32.00,-,أسماك مجمدة من الهلبوت,أسماك الهلبوت مجمدة,375,125,500,وزن
3.03,0303.33.00,-,أسماك مجمدة من موسى,أسماك موسى مجمدة,375,125,500,وزن
3.03,0303.34.00,-,أسماك مجمدة من الترس,أسماك الترس مجمدة,375,125,500,وزن
3.03,0303.39.00,-,غيرها,أسماك مفلطحة أخرى مجمدة,375,125,500,وزن
3.03,0303.41.00,-,أسماك مجمدة من التونة البيضاء,أسماك التونة البيضاء مجمدة,375,125,500,وزن
3.03,0303.42.00,-,أسماك مجمدة من التونة ذات الزعانف الصفراء,أسماك التونة ذات الزعانف الصفراء مجمدة,375,125,500,وزن
3.03,0303.43.00,-,أسماك مجمدة من التونة الوثابة (بونيت مخطط البطن),أسماك التونة الوثابة مجمدة,375,125,500,وزن
3.03,0303.44.00,-,أسماك مجمدة من التونة ذات العينين الكبيرتين,أسماك التونة ذات العينين الكبيرتين مجمدة,375,125,500,وزن
3.03,0303.45.00,-,أسماك مجمدة من التونة الأطلسي ذات الزعنفة الزرقاء,أسماك التونة الأطلسي ذات الزعنفة الزرقاء مجمدة,375,125,500,وزن
3.03,0303.46.00,-,أسماك مجمدة من التونة الجنوبية ذات الزعنفة الزرقاء,أسماك التونة الجنوبية ذات الزعنفة الزرقاء مجمدة,375,125,500,وزن
3.03,0303.49.00,-,غيرها,أسماك تونة أخرى مجمدة,375,125,500,وزن
3.03,0303.51.00,-,أسماك مجمدة من الرنجة,أسماك الرنجة مجمدة,375,125,500,وزن
3.03,0303.53.00,-,أسماك مجمدة من السردين والسردينيلا,أسماك السردين والسردينيلا مجمدة,375,125,500,وزن
3.03,0303.54.00,-,أسماك مجمدة من الإسقمري,أسماك الإسقمري مجمدة,375,125,500,وزن
3.03,0303.55.00,-,أسماك مجمدة من الشينشار,أسماك الشينشار مجمدة,375,125,500,وزن
3.03,0303.56.00,-,أسماك مجمدة من الكوبيا,أسماك الكوبيا مجمدة,375,125,500,وزن
3.03,0303.57.00,-,أسماك مجمدة من أبو سيف,أسماك أبو سيف مجمدة,375,125,500,وزن
3.03,0303.59.00,-,غيرها,أسماك أخرى من الأنواع المذكورة مجمدة,375,125,500,وزن
3.03,0303.63.00,-,أسماك مجمدة من القد,أسماك القد مجمدة,375,125,500,وزن
3.03,0303.64.00,-,أسماك مجمدة من الحدوق,أسماك الحدوق مجمدة,375,125,500,وزن
3.03,0303.65.00,-,أسماك مجمدة من النازلي,أسماك النازلي مجمدة,375,125,500,وزن
3.03,0303.66.00,-,أسماك مجمدة من البوالك (ألاسكا),أسماك البوالك مجمدة,375,125,500,وزن
3.03,0303.67.00,-,أسماك مجمدة من أسماك عائلة القادس,أسماك عائلة القادس مجمدة,375,125,500,وزن
